score,text
0,"casteddu (cagliari in italianu, càller in cadelanu, castell de càller in cadelanu antigu, cáller in ispagnolu antigu) est sa capitale e sa tzitade prus manna de sardigna.
"
0,"casteddu est una de is tzitades prus antigas de sardigna, e paret chi dd'aiant fundada sos fenìtzos a inghiriu de su sèculu viii a.c, in s'oru de s'istáinu de santa igia.
"
0,"su numene fenitzu fiat ""caralý"", numene plurale ca giai dae tempus meda fiat formada dae unas cantas biddas.
"
0,"is romanos, lompidos in su 238 a.c, dd'aiant fata sea de provìntzia e amanniada, faghende·dda crèschere a inghiriu de sa pratza de su cramu fintzas a santu sadurru:a foras de sa parte bìvida fiant sos campusantos de tuvixeddu (iare cartaginesu) e bonàiri.
"
0,"in su sèculu ii ap. dd'ant fata colònia.
"
0,"in edade cristiana at tentu unu pìscamu.
"
0,"in edade romana puru su numene fiat plurale:
"
0,"sos bividores depiant èssere unos 30.
"
0,"sainu, o burricu, o molente, o poleddu (equus asinus, linnaeus 1758) de sa familia equidi, est unu mammìferu.
"
0,"s'ainu chi bivet in sardigna est de media artària.
"
0,"de colore murru cun unu pagu de nieddu.
"
0,"est un'animale forte, difatis fiat usadu pro traballu, pro trasportu de persones o de àteros pesos.
"
0,"si usaiat pro fàghere girare sa mola (dae inoghe su nòmine molente).
"
0,"su puddèrigu de s'àinu si narat burricu.
"
0,"dae sa rugrada de un'àinu cun un'ebba naschet su mulu; dae unu caddu cun un'aina, su bardotu.
"
0,"ventana → log.
"
0,"bentana (vantana, bentana)
"
0,"verano → log.
"
0,"bianco → biancu
"
0,"cinta → tzinta
"
0,"mille → milli
"
0,"occhiali → otzales
"
0,"nùmenes e sambenados
"
0,"riferimentos
"
0,"esplicativos
"
0,"bibliogràficos e sitogràficos
"
0,"bibliografia
"
0,"bortadura de: storia, spirito e forma, berna, francke, 1951; como a incuru de giulio paulis, nùgoro, 1997.
"
0,"indagine sull'uso dei codici linguistici in tre comuni della sardegna settentrionale, casteddu, condaghes 2006
"
0,"kamps e antonio lepori,
"
0,"storia, metodi, problemi, condaghes, casteddu, 2003.
"
0,"il contatto linguistico in sardegna dal medioevo a oggi, condaghes, casteddu, 2005.
"
0,"a unitary account of a self-organizing structure, the hague: holland academic graphics
"
0,"8400 vocaboli, cuec, casteddu, 1980.
"
0,"r, cuartu san'aleni, 2001.
"
0,"de su nascimentu a su segundu otuxentus, c.r, cuartu san'aleni, 2005.
"
0,"limba lingua language : lingue locali, standardizzazione e identità in sardegna nell'era della globalizzazione, casteddu:
"
0,"la parlata del sardo-baroniese – fonetica, morfologia, sintassi, ghedini, milanu, 1997.
"
